title,link,channel_name,channel_link,view_count,upload_date,duration,thumbnail
Data Science Project- Predicting outcome with Support Vector Machine in Machine Learning | Edureka,https://www.youtube.com/watch?v=9hVIS0sFYX4&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,edureka!,https://www.youtube.com/@edurekaIN,21000,streamed 4 years ago,30:03,
7 Tips To Structure Your Python Data Science Projects,https://www.youtube.com/watch?v=xVuqDBCQAYc&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,ArjanCodes,https://www.youtube.com/@ArjanCodes,120000,1 year ago,14:49,https://i.ytimg.com/vi/xVuqDBCQAYc/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDDHrdCJn-JUqiPsUwUeoALCd5xOQ
Data science projects in 2022 | Data Science projects in Python | Great Learning,https://www.youtube.com/watch?v=rEyvIQctcMo&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,Great Learning,https://www.youtube.com/@greatlearning,59000,3 years ago,5:39:00,https://i.ytimg.com/vi/rEyvIQctcMo/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAupOIoQV2Zgiac2AjVlULF3FJi6A
20+ Data Science Project Ideas From 5 Domains,https://www.youtube.com/watch?v=zk6OBmEI0xY&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,Krish Naik,https://www.youtube.com/@krishnaik06,55000,3 years ago,12:09,https://i.ytimg.com/vi/zk6OBmEI0xY/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCrEVRVohkpWMSpeLSf4USe7H0joQ
Top 10 Data Science Projects | Best Data Science Projects | Data Science Project Ideas | Intellipaat,https://www.youtube.com/watch?v=B3KMrc2jFqE&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,Intellipaat,https://www.youtube.com/@Intellipaat,4400,streamed 2 years ago,7:10,https://i.ytimg.com/vi/B3KMrc2jFqE/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAetGQJOUjjXmfsx8kl5xdjd6idiA
Build a Stand-Out Data Science Project Portfolio With Omdena,https://www.youtube.com/watch?v=Rn0LyHJujF4&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,codebasics,https://www.youtube.com/@codebasics,51000,2 years ago,6:58,https://i.ytimg.com/vi/Rn0LyHJujF4/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLC77igDtnAiXWpT8mvuA4eYssv_3A
Data Analytics vs Data Science,https://www.youtube.com/watch?v=dcXqhMqhZUo&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,IBM Technology,https://www.youtube.com/@IBMTechnology,564000,1 year ago,6:30,
🔥 Data Science Projects for Your Resume #Shorts #Simplilearn,https://www.youtube.com/shorts/KV96SumOqM0,Simplilearn,https://www.youtube.com/@SimplilearnOfficial,729,1 year ago,SHORTS,
Beginner Kaggle Data Science Project Walk-Through (Housing Prices) | With ChatGPT,https://www.youtube.com/watch?v=NQQ3DRdXAXE&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,Ken Jee,https://www.youtube.com/@KenJee_ds,65000,1 year ago,1:01:02,
A Dedicated Playlist For End To End Data Science Projects Implementation With Deployment In 2023,https://www.youtube.com/watch?v=qDxCYmLWUyQ&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,Krish Naik,https://www.youtube.com/@krishnaik06,24000,1 year ago,8:28,
How To Build Ideas For Real World Data Science Projects For Interviews,https://www.youtube.com/watch?v=qgf4_5ximzI&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,Krish Naik,https://www.youtube.com/@krishnaik06,24000,1 year ago,8:39,
Data Science Project from Scratch | Simple Data Science Project | Intellipaat,https://www.youtube.com/watch?v=3ru6ng3G3Gc&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,Intellipaat,https://www.youtube.com/@Intellipaat,4600,streamed 3 years ago,30:08,
Machine Learning & Data Science Project - 5 : Model Building (Real Estate Price Prediction Project),https://www.youtube.com/watch?v=oCiRv94GMEc&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,codebasics,https://www.youtube.com/@codebasics,178000,5 years ago,19:12,
Complete Data Science Project!,https://www.youtube.com/watch?v=7SRcYdd9JcY&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,Rob Mulla,https://www.youtube.com/@robmulla,13000,2 years ago,38:31,
Get NOTICED in Data Science!!! (3 types of GREAT projects),https://www.youtube.com/watch?v=cIZWgPmpRVc&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,Luke Barousse,https://www.youtube.com/@LukeBarousse,95000,3 years ago,8:01,
Machine Learning & Data Science Project - 4 : Outlier Removal (Real Estate Price Prediction Project),https://www.youtube.com/watch?v=cbqZa_1vzcg&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,codebasics,https://www.youtube.com/@codebasics,180000,5 years ago,19:31,
Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),https://www.youtube.com/watch?v=DW55gaQ_Egk&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,Ken Jee,https://www.youtube.com/@KenJee_ds,8500,4 years ago,11:48,
Top 5 Data Science Projects/Ideas For Your Resume For Freshers From My Playlist- Must Watch🔥🔥🔥,https://www.youtube.com/watch?v=FNfBR7ZnyWo&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,Krish Naik,https://www.youtube.com/@krishnaik06,103000,4 years ago,21:54,
How To Convert A Kaggle Project To A End To End Data Science With Deployment For Freshers 🔥🔥🔥🔥,https://www.youtube.com/watch?v=8fOv9JiH1jI&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,Krish Naik,https://www.youtube.com/@krishnaik06,48000,4 years ago,26:12,
Designing Data Science Projects Architecture- AI Car Solution-Important For Interviews🔥🔥🔥🔥,https://www.youtube.com/watch?v=cUi9gsxRjp0&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,Krish Naik,https://www.youtube.com/@krishnaik06,8800,4 years ago,25:04,https://i.ytimg.com/vi/cUi9gsxRjp0/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLArItZwKeZzsuy2JDf4R8tc7bAjTw
Best Free Data Sets For Data Science Projects,https://www.youtube.com/watch?v=XcWFTEdERP0&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,Krish Naik,https://www.youtube.com/@krishnaik06,30000,4 years ago,11:11,https://i.ytimg.com/vi/XcWFTEdERP0/hqdefault.jpg?sqp=-oaymwEnCOADEI4CSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCjXtLrf7yPV6br8nEQWxLuikfmZA
What Should Be A Proper Structure Of Your Data Science Projects In Github?,https://www.youtube.com/watch?v=QAVrSm-NiBo&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,Krish Naik,https://www.youtube.com/@krishnaik06,41000,3 years ago,10:11,https://i.ytimg.com/vi/QAVrSm-NiBo/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLDsqXRhMctnWuKiOraOTFHpsRhnMg
8 Projects To Get A Data Science Job | Projects for Data Science Portfolio,https://www.youtube.com/watch?v=SQHfry4xmdM&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,CampusX,https://www.youtube.com/@campusx-official,142000,3 years ago,31:51,https://i.ytimg.com/vi/SQHfry4xmdM/hqdefault.jpg?sqp=-oaymwEnCOADEI4CSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCExJAENxIYzIKpZdMStrYSmgPiWg
Did you know you can find fun data science projects with Tidy Tuesday? #tidyr #datascience,https://www.youtube.com/shorts/aWcgMDF2_XU,Posit PBC,https://www.youtube.com/@PositPBC,1400,1 year ago,SHORTS,https://i.ytimg.com/vi/aWcgMDF2_XU/hq720_2.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGFsgYShlMA8=&rs=AOn4CLD_uQmPpmEj6vVGcloiNh92hz_ZIQ
Steal My 30 Data Science Project Ideas!,https://www.youtube.com/shorts/KF3CUVwdLz0,Avery Smith | Data Analyst,https://www.youtube.com/@averysmith,2900,1 year ago,SHORTS,https://i.ytimg.com/vi/KF3CUVwdLz0/hq720_2.jpg?sqp=-oaymwFBCNAFEJQDSFryq4qpAzMIARUAAIhCGADYAQHiAQoIGBACGAY4AUAB8AEB-AG2CIACgA-KAgwIABABGGIgZShbMA8=&rs=AOn4CLDJ0ENT3D9HuQiuGETD39SvTSzoAg
"4 Tips For Building Powerful Data Science Projects. Ft. Nick Singh (Ex. Facebook, Google)",https://www.youtube.com/watch?v=zh-xQp508Vk&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,codebasics,https://www.youtube.com/@codebasics,11000,2 years ago,20:03,https://i.ytimg.com/vi/zh-xQp508Vk/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBqfB7Wi4FP4FZTS8FlXx3Y577ZNw
Complete Life Cycle of a Data Science Project,https://www.youtube.com/watch?v=jkoOpXaD0H4&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,Krish Naik,https://www.youtube.com/@krishnaik06,56000,5 years ago,9:57,
Why OOPS Concepts Is Must For Implementing Complex Data Science Projects,https://www.youtube.com/watch?v=5FYBf-HG3as&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,Krish Naik,https://www.youtube.com/@krishnaik06,14000,4 years ago,10:54,
Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),https://www.youtube.com/watch?v=B1g_yMKpdwo&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,Ken Jee,https://www.youtube.com/@KenJee_ds,4700,4 years ago,14:01,
Data Science Project - Expectations vs Reality (funny) #shorts,https://www.youtube.com/shorts/68GGPK3WaqI,Ken Jee,https://www.youtube.com/@KenJee_ds,42000,3 years ago,SHORTS,
5 Unusual Data Science Projects that Will Land You a Job,https://www.youtube.com/watch?v=d6FeV8WXPWY&pp=ygUVZGF0YSBzY2llbmNlIHByb2plY3Rz,Ken Jee,https://www.youtube.com/@KenJee_ds,12000,4 years ago,4:59,
